,Year,State,Poor mental health days,Premature death
3850,1/1/2014,NY,3.3,6004.0
3851,1/1/2015,NY,3.3,5883.0
3852,1/1/2014,NY,3.3,5486.0
3853,1/1/2015,NY,3.3,6233.0
3854,1/1/2014,NY,4.0,7481.0
3855,1/1/2015,NY,4.0,7050.0
3856,1/1/2014,NY,3.7,6606.0
3857,1/1/2015,NY,3.7,6714.0
3858,1/1/2014,NY,2.9,6982.0
3859,1/1/2015,NY,2.9,7068.0
3860,1/1/2014,NY,3.4,5968.0
3861,1/1/2015,NY,3.4,6073.0
3862,1/1/2014,NY,4.1,6713.0
3863,1/1/2015,NY,4.1,6970.0
3864,1/1/2014,NY,5.3,6651.0
3865,1/1/2015,NY,5.3,6824.0
3866,1/1/2014,NY,2.7,6483.0
3867,1/1/2015,NY,2.7,6585.0
3868,1/1/2014,NY,3.6,5988.0
3869,1/1/2015,NY,3.6,6194.0
3870,1/1/2014,NY,4.1,6493.0
3871,1/1/2015,NY,4.1,5937.0
3872,1/1/2014,NY,3.7,5957.0
3873,1/1/2015,NY,3.7,6574.0
3874,1/1/2014,NY,2.4,6335.0
3875,1/1/2015,NY,2.4,6650.0
3876,1/1/2014,NY,3.2,5266.0
3877,1/1/2015,NY,3.2,5289.0
3878,1/1/2014,NY,3.3,7006.0
3879,1/1/2015,NY,3.3,6994.0
3880,1/1/2014,NY,4.0,5401.0
3881,1/1/2015,NY,4.0,5989.0
3882,1/1/2014,NY,2.9,6243.0
3883,1/1/2015,NY,2.9,6769.0
3884,1/1/2014,NY,5.3,6107.0
3885,1/1/2015,NY,5.3,6191.0
3886,1/1/2014,NY,4.2,6198.0
3887,1/1/2015,NY,4.2,6561.0
3888,1/1/2014,NY,2.5,6914.0
3889,1/1/2015,NY,2.5,7841.0
3890,1/1/2014,NY,,7590.0
3891,1/1/2015,NY,,8193.0
3892,1/1/2014,NY,4.5,6411.0
3893,1/1/2015,NY,4.5,5689.0
3894,1/1/2014,NY,3.6,6167.0
3895,1/1/2015,NY,3.6,6490.0
3896,1/1/2014,NY,3.6,6284.0
3897,1/1/2015,NY,3.6,5788.0
3898,1/1/2014,NY,3.7,5709.0
3899,1/1/2015,NY,3.7,5887.0
3900,1/1/2014,NY,1.6,4701.0
3901,1/1/2015,NY,1.6,5610.0
3902,1/1/2014,NY,3.7,5250.0
3903,1/1/2015,NY,3.7,5280.0
3904,1/1/2014,NY,3.4,5787.0
3905,1/1/2015,NY,3.4,5763.0
3906,1/1/2014,NY,3.3,6936.0
3907,1/1/2015,NY,3.3,6154.0
3908,1/1/2014,NY,2.7,4607.0
3909,1/1/2015,NY,2.7,4407.0
3910,1/1/2014,NY,3.5,4896.0
3911,1/1/2015,NY,3.5,4409.0
3912,1/1/2014,NY,4.2,7228.0
3913,1/1/2015,NY,4.2,6824.0
3914,1/1/2014,NY,4.1,6542.0
3915,1/1/2015,NY,4.1,6362.0
3916,1/1/2014,NY,3.7,5945.0
3917,1/1/2015,NY,3.7,5833.0
3918,1/1/2014,NY,3.4,5719.0
3919,1/1/2015,NY,3.4,5782.0
3920,1/1/2014,NY,3.1,5774.0
3921,1/1/2015,NY,3.1,5661.0
3922,1/1/2014,NY,3.4,6394.0
3923,1/1/2015,NY,3.4,6435.0
3924,1/1/2014,NY,3.5,6209.0
3925,1/1/2015,NY,3.5,6027.0
3926,1/1/2014,NY,4.0,5703.0
3927,1/1/2015,NY,4.0,5839.0
3928,1/1/2014,NY,2.2,4491.0
3929,1/1/2015,NY,2.2,4453.0
3930,1/1/2014,NY,3.5,4822.0
3931,1/1/2015,NY,3.5,4616.0
3932,1/1/2014,NY,3.6,5984.0
3933,1/1/2015,NY,3.6,5877.0
3934,1/1/2014,NY,3.9,5746.0
3935,1/1/2015,NY,3.9,5668.0
3936,1/1/2014,NY,2.8,4329.0
3937,1/1/2015,NY,2.8,4294.0
3938,1/1/2014,NY,2.6,4858.0
3939,1/1/2015,NY,2.6,4504.0
3940,1/1/2014,NY,2.5,5907.0
3941,1/1/2015,NY,2.5,6036.0
3942,1/1/2014,NY,3.2,5430.0
3943,1/1/2015,NY,3.2,5801.0
3944,1/1/2014,NY,4.6,6025.0
3945,1/1/2015,NY,4.6,4953.0
3946,1/1/2014,NY,3.7,5681.0
3947,1/1/2015,NY,3.7,6132.0
3948,1/1/2014,NY,4.3,6678.0
3949,1/1/2015,NY,4.3,6778.0
3950,1/1/2014,NY,3.9,6255.0
3951,1/1/2015,NY,3.9,5974.0
3952,1/1/2014,NY,3.4,5301.0
3953,1/1/2015,NY,3.4,5284.0
3954,1/1/2014,NY,3.4,7799.0
3955,1/1/2015,NY,3.4,7756.0
3956,1/1/2014,NY,3.6,4922.0
3957,1/1/2015,NY,3.6,6153.0
3958,1/1/2014,NY,3.4,4130.0
3959,1/1/2015,NY,3.4,4527.0
3960,1/1/2014,NY,3.4,6159.0
3961,1/1/2015,NY,3.4,5913.0
3962,1/1/2014,NY,2.4,5477.0
3963,1/1/2015,NY,2.4,5906.0
3964,1/1/2014,NY,3.1,6003.0
3965,1/1/2015,NY,3.1,6525.0
3966,1/1/2014,NY,4.5,6047.0
3967,1/1/2015,NY,4.5,5610.0
3968,1/1/2014,NY,2.8,4441.0
3969,1/1/2015,NY,2.8,4293.0
3970,1/1/2014,NY,4.5,5532.0
3971,1/1/2015,NY,4.5,5624.0
3972,1/1/2014,NY,,5485.0
3973,1/1/2015,NY,,6046.0
